courseID,enrollCode,days,time,loction
PHYS 1,FREUND E G,M W,12:30pm - 1:45pm,BRDA 1610
PHYS 1,41392,F,12:00pm - 1:50pm,PHELP2524
PHYS 1,41400,T,3:00pm - 4:50pm,PHELP3523
PHYS 1,41418,T,5:00pm - 6:50pm,PHELP3523
PHYS 1,41426,F,2:00pm - 3:50pm,PHELP2524
PHYS 1,41434,R,3:00pm - 4:50pm,ARTS 1356
PHYS 1,41442,R,5:00pm - 6:50pm,ARTS 1349
PHYS 1,FREUND E G,T R,3:30pm - 4:45pm,BRDA 1610
PHYS 1,41467,M,2:00pm - 3:50pm,NH 1109
PHYS 1,41475,M,4:00pm - 5:50pm,NH 1109
PHYS 1,41483,W,5:00pm - 6:50pm,ARTS 1349
PHYS 1,41491,F,1:00pm - 2:50pm,GIRV 1112
PHYS 1,41509,F,3:00pm - 4:50pm,GIRV 1112
PHYS 1,41517,F,5:00pm - 6:50pm,GIRV 1112
PHYS 1,NELSON H,T R,12:30pm - 1:45pm,BRDA 1640
PHYS 1,41533,M,9:00 am - 10:50am,ARTS 1353
PHYS 1,41541,M,4:00pm - 5:50pm,GIRV 2127
PHYS 3,GIESSINGER E,T R,8:00 am - 9:15 am,BRDA 1640
PHYS 3L,GIESSINGER ECHEN MINGHAN||POPESCU P F||,T,1:00pm - 3:50pm,BRDA 3324
PHYS 3L,GIESSINGER ECHEN MINGHAN||POPESCU P F||CHEN MINGHAN||POPESCU P F||,T,4:00pm - 6:50pm,BRDA 3324
PHYS 3L,GIESSINGER ECHEN MINGHAN||POPESCU P F||CHEN MINGHAN||POPESCU P F||YUAN JIAOYUE||POPESCU P F||,W,1:00pm - 3:50pm,BRDA 3324
PHYS 3L,GIESSINGER ECHEN MINGHAN||POPESCU P F||CHEN MINGHAN||POPESCU P F||YUAN JIAOYUE||POPESCU P F||YUAN JIAOYUE||POPESCU P F||,W,4:00pm - 6:50pm,BRDA 3324
PHYS 4,LUBIN P,T R,12:30pm - 1:45pm,BRDA 1610
PHYS 4,FREUND E G,T R,11:00am - 12:15pm,BRDA 1640
PHYS 4L,FREUND E GEIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||,M,1:00pm - 3:50pm,BRDA 3332Y
PHYS 4L,FREUND E GEIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||BHARATH VISHW||FREUND E G||POPESCU P F||LUBIN P||,M,1:00pm - 3:50pm,BRDA 2334B
PHYS 4L,FREUND E GEIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||BHARATH VISHW||FREUND E G||POPESCU P F||LUBIN P||EIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||,M,4:00pm - 6:50pm,BRDA 3332Y
PHYS 4L,FREUND E GEIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||BHARATH VISHW||FREUND E G||POPESCU P F||LUBIN P||EIERMAN S C||FREUND E G||POPESCU P F||LUBIN P||BHARATH VISHW||FREUND E G||POPESCU P F||LUBIN P||,M,4:00pm - 6:50pm,BRDA 2334B
